,Action,Expected Result,Android,Android Notes,iOS,iOS Notes,Web
9.1,Fill the username field with a very long name(100),,Ready to Test,,Ready to Test,,
9.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
9.3,Click on sign-up button,"The error massege appears telling the user that the username
 must not exceed 50 characters",Ready to Test,,Ready to Test,,
10,Sign-up with username field empty,,,,,,
10.1,Leave the username field empty,,Ready to Test,,Ready to Test,,
10.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
10.3,Click the sign-up button,"The error massege appears telling the user to fill the username 
field",Ready to Test,,Ready to Test,,
11,Sign-up with username in different language,,,,,,
11.1,Fill the username field in Russian or Arabic,,Ready to Test,,Ready to Test,,
11.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
11.3,Click the sign-up button,The registration complete,Ready to Test,,Ready to Test,,
12,Sign-up without email address,,,,,,
12.1,Leave the email field empty,,Ready to Test,,Ready to Test,,
12.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
12.3,Click the sign-up button,The error massege appears telling the user to fill the email field,Ready to Test,,Ready to Test,,
13,Sign-up with already used email,,,,,,
13.1,Fill the email with already used email address,,Ready to Test,,Ready to Test,,
13.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
13.3,Click on sign-up button,"-The error massege appears telling the user that the email address
 already used
-The message appears encouraging the user to login with existed email",Ready to Test,,Ready to Test,,
14,Sign-up with wrong email format,,,,,,
14.1,Fill email address field with wrong email format(dghjsb25.com),,Ready to Test,,Ready to Test,,
14.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
14.3,Click the sign-up button,The error message appears telling that email field must be correct format(shd@dgg.com),Ready to Test,,Ready to Test,,
14,Sign-up with email already used but not verified,,,,,,
14.1,Enter an already registred but not verified email in the email field,,Ready to Test,,Ready to Test,,
14.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
14.3,Click the sign-up button,"-The message appears telling the user that entered email already used and needs verification
-An option appears to send a verification email again",Ready to Test,,Ready to Test,,
15,Sign-up with an email that is attached with already register Facebook user,,,,,,
15.1,Enter an valid email that is attached with already register facebook user,,Ready to Test,,Ready to Test,,
15.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
15.3,Click the sign-up button,A message appears telling the user that this email is attached to the facebook account and encourage the user to login using Facebook,Ready to Test,,Ready to Test,,
16,Sign-up with empty password field,,,,,,
16.1,Leave the passwor field empty,,Ready to Test,,Ready to Test,,
16.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
16.3,Click the sign-up button,"The error massege appears telling the user to fill the password
 field",Ready to Test,,Ready to Test,,
17,Sign-up with short password,,,,,,
17.1,Fill the pssword field with a short password(Qdf3&),,Ready to Test,,Ready to Test,,
17.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
17.3,Click the sign-up button,The error message appears telling to insert the password with a minimum of 6 characters,Ready to Test,,Ready to Test,,
18,Sign-up with password that does not contain a special characters,,,,,,
18.1,Fill the pssword field with a password that does not contain special characters(Qsdf45),,Ready to Test,,Ready to Test,,
18.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
18.3,Click the sign-up button,The error message appears telling to insert the password which contains special characters,Ready to Test,,Ready to Test,,
19,Sign-up with password that does not contain a small letters,,,,,,
19.1,Fill the pssword field with a password that does not contain small letters(ASD45£),,Ready to Test,,Ready to Test,,
19.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
19.3,Click the sign-up button,The error message appears telling to insert the password which contains small letters,Ready to Test,,Ready to Test,,
20,Sign-up with password that does not begin with capital letter,,,,,,
20.1,Fill the pssword field with a password that does not begin with capital letter(asd45$),,Ready to Test,,Ready to Test,,
20.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
20.3,Click the sign-up button,The error message appears telling to insert the password which begins with capital letter,Ready to Test,,Ready to Test,,
21,Sign-up with password that does not contain a number,,,,,,
21.1,Fill the pssword field with a password that does not contain a number(Asdf$c),,Ready to Test,,Ready to Test,,
21.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
21.3,Click the sign-up button,The error message appears telling to insert the password which contains a number,Ready to Test,,Ready to Test,,
